id,name,description,type
12,Os 30 álbuns mais avaliados,Álbuns com o maior número de avaliações,al
13,Os 20 artistas mais avaliados,Artistas com o maior número de avaliações,ar
14,As 20 revistas que mais avaliam,Revistas com o maior número de avaliações dadas,ma
