1,Pop
2,Soul
3,RnB
4,Funk
5,Hip Hop
6,Rap
7,Dance
8,K-Pop
9,Sad Girl Pop
10,Hyperpop
11,Bubblegum Pop
12,Reggaeton
13,Bachata
14,Latin Pop
15,EDM
16,Rock
17,Alternative
18,Metal
19,Europop
20,Experimental
21,Folk
