id,name,parent_album,place_in_tracklist,featuring,parent_artist
803,Plastic off the Sofa,64,8,,5
804,Virgo's Groove,64,9,,5
805,Move,64,10,"Grace Jones, Tems",5
806,Heated,64,11,,5
807,Thique,64,12,,5
808,All Up in Your Mind,64,13,,5
809,America Has a Problem,64,14,,5
810,Pure/Honey,64,15,,5
811,Summer Renaissance,64,16,,5
812,All the Lovers,65,1,,20
813,Get Outta My Way,65,2,,20
814,Put Your Hands Up (If You Feel Love),65,3,,20
815,Closer,65,4,,20
816,Everything Is Beautiful,65,5,,20
817,Aphrodite,65,6,,20
818,Illusion,65,7,,20
819,Better than Today,65,8,,20
820,Too Much,65,9,,20
821,Cupid Boy,65,10,,20
822,Looking for an Angel,65,11,,20
823,Can't Beat the Feeling,65,12,,20
824,Saoko,66,1,,33
825,Candy,66,2,,33
826,La Fama,66,3,The Weeknd,33
827,Bulerías,66,4,,33
828,Chicken Teriyaki,66,5,,33
829,Hentai,66,6,,33
830,Bizcochito,66,7,,33
831,G3 N15,66,8,,33
832,Motomami,66,9,,33
833,Diablo,66,10,,33
834,Delirios de Grandeza,66,11,,33
835,Cuuuuuuuute,66,12,,33
836,Como un G,66,13,,33
837,Abcdefg,66,14,,33
838,La Combi Versace,66,15,Tokischa,33
839,Sakura,66,16,,33
840,La Luna Enamorada,67,1,,16
841,Fue Mejor,67,2,PartyNextDoor,16
842,//Aguardiente y Limón %ᵕ‿‿ᵕ%,67,3,,16
843,Aquí Yo Mando,67,4,Rico Nasty,16
844,Vaya con Dios,67,5,,16
845,Que Te Pedí//,67,6,,16
846,Quiero Sentirme Bien,67,7,,16
847,Telepatía,67,8,,16
848,De Nadie,67,9,,16
849,No Eres Tu (Soy Yo),67,10,,16
850,Te Pongo Mal (Préndelo),67,11,"Jowell, Randy",16
851,La Luz (Fín),67,12,Jhay Cortez,16
852,Ángel sin Cielo,67,13,,16
853,Lavender Haze,68,1,,36
854,Maroon,68,2,,36
855,Anti-Hero,68,3,,36
856,Snow on the Beach,68,4,Lana Del Rey,36
857,"You're on Your Own, Kid",68,5,,36
858,Midnight Rain,68,6,,36
859,Question...?,68,7,,36
860,Vigilante Shit,68,8,,36
861,Bejeweled,68,9,,36
862,Labyrinth,68,10,,36
863,Karma,68,11,,36
864,Sweet Nothing,68,12,,36
865,Mastermind,68,13,,36
866,Gimme More,69,1,,8
867,Piece of Me,69,2,,8
868,Radar,69,3,,8
869,Break the Ice,69,4,,8
870,Heaven on Earth,69,5,,8
871,Get Naked (I Got a Plan),69,6,,8
872,Freakshow,69,7,,8
873,Toy Soldier,69,8,,8
874,Hot as Ice,69,9,,8
875,Ooh Ooh Baby,69,10,,8
876,Perfect Lover,69,11,,8
877,Why Should I Be Sad,69,12,,8
878,Sale el Sol,70,1,,39
879,Loca,70,2,El Cata,39
880,Antes de las Seis,70,3,,39
881,Gordita,70,4,Residente Calle 13,39
882,Addicted to You,70,5,,39
883,Lo Que Más,70,6,,39
884,Mariposas,70,7,,39
885,Rabiosa,70,8,El Cata,39
886,Devoción,70,9,,39
887,Islands,70,10,,39
888,Tu Boca,70,11,,39
889,Waka Waka (Esto es África) (K-Mix),70,12,,39
890,Loca,70,13,Dizzee Rascal,39
891,Rabiosa,70,14,Pitbull,39
892,Waka Waka (This Time for Africa) (K-Mix),70,15,,39
