id,name,parent_album,place_in_tracklist,featuring,parent_artist
185,Woman Like Me,16,1,Nicki Minaj,23
186,Think About Us,16,2,,23
187,Strip,16,3,Sharaya J,23
188,Monster in Me,16,4,,23
189,Joan of Arc,16,5,,23
190,Love a Girl Right,16,6,,23
191,American Boy,16,7,,23
192,Told You So,16,8,,23
193,Wasabi,16,9,,23
194,More Than Words,16,10,Kamille,23
195,Motivate,16,11,,23
196,Notice,16,12,,23
197,The Cure,16,13,,23
198,Forget You Not,16,14,,23
199,Woman's World,16,15,,23
200,Revival,17,1,,35
201,Kill Em with Kindness,17,2,,35
202,Hands to Myself,17,3,,35
203,Same Old Love,17,4,,35
204,Sober,17,5,,35
205,Good for You,17,6,ASAP Rocky,35
206,Camouflage,17,7,,35
207,Me & the Rhythm,17,8,,35
208,Survivors,17,9,,35
209,Body Heat,17,10,,35
210,Rise,17,11,,35
211,Me & My Girls,17,12,,35
212,Nobody,17,13,,35
213,Perfect,17,14,,35
214,Rare,18,1,,35
215,Dance Again,18,2,,35
216,Look At Her Now,18,3,,35
217,Lose You to Love Me,18,4,,35
218,Ring,18,5,,35
219,Vulnerable,18,6,,35
220,People You Know,18,7,,35
221,Let Me Get Me,18,8,,35
222,Crowded Room,18,9,6lack,35
223,Kinda Crazy,18,10,,35
224,Fun,18,11,,35
225,Cut You Off,18,12,,35
226,A Sweeter Place,18,13,Kid Cudi,35
227,Welcome to New York,19,1,,36
228,Blank Space,19,2,,36
229,Style,19,3,,36
230,Out of the Woods,19,4,,36
231,All You Had to Do Was Stay,19,5,,36
232,Shake It Off,19,6,,36
233,I Wish You Would,19,7,,36
234,Bad Blood,19,8,,36
235,Wildest Dreams,19,9,,36
236,How You Get the Girl,19,10,,36
237,This Love,19,11,,36
238,I Know Places,19,12,,36
239,Clean,19,13,,36
240,...Ready for It?,20,1,,36
241,End Game,20,2,"Ed Sheeran, Future",36
242,I Did Something Bad,20,3,,36
243,Don't Blame Me,20,4,,36
244,Delicate,20,5,,36
245,Look What You Made Me Do,20,6,,36
246,So It Goes...,20,7,,36
247,Gorgeous,20,8,,36
248,Getaway Car,20,9,,36
249,King of My Heart,20,10,,36
250,Dancing with Our Hands Tied,20,11,,36
251,Dress,20,12,,36
252,This Is Why We Can't Have Nice Things,20,13,,36
253,Call It What You Want,20,14,,36
254,New Year's Day,20,15,,36
255,I Forgot That You Existed,21,1,,36
256,Cruel Summer,21,2,,36
257,Lover,21,3,,36
258,The Man,21,4,,36
259,The Archer,21,5,,36
260,I Think He Knows,21,6,,36
261,Miss Americana & the Heartbreak Prince,21,7,,36
262,Paper Rings,21,8,,36
263,Cornelia Street,21,9,,36
264,Death by a Thousand Cuts,21,10,,36
265,London Boy,21,11,,36
266,Soon You'll Get Better,21,12,Dixie Chicks,36
267,False God,21,13,,36
268,You Need to Calm Down,21,14,,36
269,Afterglow,21,15,,36
270,Me!,21,16,Brendon Urie do Panic! at the Disco,36
271,It's Nice to Have a Friend,21,17,,36
272,Daylight,21,18,,36
273,Flash Pose,22,1,Charli XCX,30
274,Parabéns,22,2,Psirico,30
275,Amor de Que,22,3,,30
276,Ponte Perra,22,4,,30
277,Buzina,23,1,,30
278,Seu Crime,23,2,,30
279,Problema Seu,23,3,,30
280,Disk Me,23,4,,30
281,Não Vou Deitar,23,5,,30
282,Ouro,23,6,Urias,30
283,Trago Seu Amor de Volta,23,7,Dilsinho,30
284,Vai Embora,23,8,Ludmilla,30
285,No hablo español,23,9,,30
286,Miragem,23,10,,30
287,Marry the Night,24,1,,21
288,Born This Way,24,2,,21
289,Government Hooker,24,3,,21
290,Judas,24,4,,21
291,Americano,24,5,,21
292,Hair,24,6,,21
293,Scheiße,24,7,,21
294,Bloody Mary,24,8,,21
295,Bad Kids,24,9,,21
296,Highway Unicorn (Road to Love),24,10,,21
297,Heavy Metal Lover,24,11,,21
298,Electric Chapel,24,12,,21
299,Yoü and I,24,13,,21
300,The Edge of Glory,24,14,,21
301,Norman Fucking Rockwell,25,1,,22
302,Mariners Apartment Complex,25,2,,22
303,Venice Bitch,25,3,,22
304,"Fuck It, I Love You",25,4,,22
305,Doin' Time,25,5,,22
306,Love Song,25,6,,22
307,Cinnamon Girl,25,7,,22
308,How To Disappear,25,8,,22
309,California,25,9,,22
310,The Next Best American Record,25,10,,22
311,The Greatest,25,11,,22
312,Bartender,25,12,,22
313,Happiness Is A Butterfly,25,13,,22
314,Hope Is a Dangerous Thing for a Woman Like Me to Have – but I Have It,25,14,,22
315,Blazed,26,1,Pharrell Williams,4
316,The Light Is Coming,26,2,Nicki Minaj,4
317,R.E.M,26,3,,4
318,God Is a Woman,26,4,,4
319,Sweetener,26,5,,4
320,Successful,26,6,,4
321,Everytime,26,7,,4
322,Breathin,26,8,,4
323,No Tears Left to Cry,26,9,,4
